Embryo,Stage,mtX,mtY,mtZ
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Osteoblasts,NA,NA,NA
1,9.5,Osteoblasts,NA,NA,NA
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Early_mesenchyme,1.40895712,0.82061217,1.12397943
1,9.5,Radial_glia,1.90116105,0.78791278,0.53364623
1,9.5,Oligodendrocyte_Progenitors,1.57265990,1.43854331,1.32853033
1,9.5,Schwann_cell_precursor,2.32661165,2.69725565,3.02765769
1,9.5,Early_mesenchyme,0.75763017,0.59737512,1.26572094
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Epithelial_cells,1.14539375,0.89725571,1.24012607
1,9.5,NA,NA,NA,NA
1,9.5,Early_mesenchyme,0.76161901,0.60366297,1.26848915
1,9.5,Early_mesenchyme,1.00285735,1.13928099,1.61696273
1,9.5,Early_mesenchyme,1.31878512,0.88772748,1.23149069
1,9.5,Neural_progenitor_cells,0.93989863,0.76585253,0.80623212
1,9.5,Early_mesenchyme,1.04073863,0.81633422,1.13173646
1,9.5,Early_mesenchyme,0.78217441,0.61875651,1.27675516
1,9.5,Notochord_cells,1.42229365,1.32391151,0.88488964
1,9.5,Neural_Tube,1.50529448,0.87890420,0.64165505
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Neural_Tube,1.58966676,0.82493282,0.50384438
1,9.5,Epithelial_cells,1.13506734,1.18643354,1.68503072
1,9.5,Neural_Tube,1.60202929,0.91772155,0.68097112
1,9.5,Neural_Tube,1.64604116,0.89603732,0.58490037
1,9.5,Oligodendrocyte_Progenitors,1.55419045,1.63078078,1.63590097
1,9.5,Neural_progenitor_cells,0.91031828,1.08759173,0.89678305
1,9.5,Isthmic_organizer_cells,1.81964479,1.18452622,0.75759516
1,9.5,Neural_Tube,1.49976247,0.88640920,0.58910635
1,9.5,Neural_Tube,1.57406940,0.83584817,0.48932252
1,9.5,Jaw_and_tooth_progenitors,1.07464142,0.87112976,1.08239609
1,9.5,Early_mesenchyme,0.73678995,0.62194790,1.27133274
1,9.5,Radial_glia,1.75785171,0.75001742,0.52299114
1,9.5,Early_mesenchyme,1.04015087,1.09972291,1.51887485
1,9.5,Early_mesenchyme,0.94029845,1.15849989,1.39351775
1,9.5,Early_mesenchyme,1.07245027,0.83326678,1.16443196
1,9.5,Cholinergic_neurons,0.66710196,1.03526709,0.21194644
1,9.5,Notochord_cells,1.37021063,1.28151024,0.68749327
1,9.5,Primitive_erythroid_lineage,2.68622388,1.54962780,1.49171894
1,9.5,Neural_progenitor_cells,1.25325729,0.82441346,0.70924082
1,9.5,Endothelial_cells,1.47606060,1.15247470,1.46680975
1,9.5,Early_mesenchyme,0.78502508,0.63865045,1.27392622
1,9.5,Neural_Tube,1.51253868,0.91381658,0.53286729
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.61515244,1.44915339,1.40767532
1,9.5,Jaw_and_tooth_progenitors,1.27056477,0.87472707,0.99501821
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Early_mesenchyme,0.82484068,0.62308380,1.26644839
1,9.5,Chondroctye_progenitors,1.37214410,0.81881802,1.07135578
1,9.5,Stromal_cells,NA,NA,NA
1,9.5,Neural_Tube,1.57785105,0.77026660,0.56592766
1,9.5,Neural_Tube,1.49834160,0.90605136,0.55237232
1,9.5,Early_mesenchyme,1.28236622,0.88057267,1.26214042
1,9.5,Neural_Tube,1.44440702,0.90427998,0.67368501
1,9.5,Endothelial_cells,1.22127053,1.08055731,1.00306515
1,9.5,Radial_glia,NA,NA,NA
1,9.5,Early_mesenchyme,0.99046867,0.76201699,1.14368635
1,9.5,Neural_Tube,1.56921964,0.84442838,0.55728305
1,9.5,Isthmic_organizer_cells,1.85884693,1.10790400,0.70979372
1,9.5,Early_mesenchyme,1.24010031,0.80957051,0.91886954
1,9.5,Epithelial_cells,2.01318897,1.19441677,1.10159270
1,9.5,Neural_Tube,1.56635304,0.87642225,0.66597114
1,9.5,Early_mesenchyme,0.93317869,1.14455927,1.34919208
1,9.5,Connective_tissue_progenitors,NA,NA,NA
1,9.5,Neural_Tube,NA,NA,NA
1,9.5,Hepatocytes,NA,NA,NA
1,9.5,Early_mesenchyme,1.31491153,0.87494866,1.24244103
1,9.5,Early_mesenchyme,0.87377412,1.17845385,1.36683604
1,9.5,Neural_progenitor_cells,0.79915430,0.68809075,0.87620996
1,9.5,Schwann_cell_precursor,NA,NA,NA
1,9.5,Early_mesenchyme,0.71890653,0.61358718,1.25988203
1,9.5,Intermediate_Mesoderm,1.33575363,1.20599211,1.79295769
1,9.5,Early_mesenchyme,0.83821695,1.16957298,1.35984845
1,9.5,Melanocytes,0.32863712,1.15605556,0.67519047
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Radial_glia,1.87035093,0.78931772,0.55925232
1,9.5,Stromal_cells,NA,NA,NA
1,9.5,Cholinergic_neurons,NA,NA,NA
1,9.5,Cardiac_muscle_lineages,NA,NA,NA
1,9.5,Early_mesenchyme,1.32585614,0.87726543,1.21202667
1,9.5,Early_mesenchyme,1.38952239,0.94508891,1.26413397
1,9.5,Isthmic_organizer_cells,1.78750016,1.64858949,0.70167035
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Epithelial_cells,NA,NA,NA
1,9.5,Chondroctye_progenitors,1.22024556,0.81402883,0.90212803
1,9.5,Intermediate_Mesoderm,1.17018109,1.19708939,1.78673512
1,9.5,Stromal_cells,1.13072201,0.83453097,1.14863384
1,9.5,Early_mesenchyme,1.28515352,0.85070906,1.22315138
1,9.5,Early_mesenchyme,NA,NA,NA
1,9.5,Early_mesenchyme,0.71982045,0.59756691,1.25681707
1,9.5,Neural_Tube,1.39834711,0.79669965,0.65375441
1,9.5,Radial_glia,1.82417278,0.83886899,0.56284812
1,9.5,Sensory_neurons,NA,NA,NA
1,9.5,Neural_Tube,1.60148191,0.84989541,0.54940810
1,9.5,Myocytes,NA,NA,NA
1,9.5,Sensory_neurons,NA,NA,NA
1,9.5,Intermediate_Mesoderm,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.70316730,1.45217457,1.37770554
1,9.5,Early_mesenchyme,0.91595837,0.67552138,1.33057446
1,9.5,Stromal_cells,1.05663876,0.95235219,1.32661144
1,9.5,Neural_Tube,1.50259402,0.87928737,0.57042601
1,9.5,Early_mesenchyme,0.96618093,1.14634064,1.44731257
1,9.5,Neural_Tube,1.61944825,0.92659729,0.65886042
1,9.5,Oligodendrocyte_Progenitors,NA,NA,NA
1,9.5,Neural_Tube,1.54166719,0.87411478,0.51889554
1,9.5,Endothelial_cells,0.17512669,1.35083567,1.23831776
1,9.5,Sensory_neurons,0.93617991,0.68835727,0.41418319
1,9.5,Early_mesenchyme,1.31934143,0.88442937,1.24211616
1,9.5,Neural_Tube,1.76110038,0.87941248,0.64705616
1,9.5,Chondroctye_progenitors,1.19466615,0.78748820,0.82419532
1,9.5,Neural_Tube,1.57013779,0.76714358,0.58807821
1,9.5,Schwann_cell_precursor,2.57066003,2.67914894,3.02947727
1,9.5,Stromal_cells,1.03786798,0.84857950,1.21611875
1,9.5,Oligodendrocyte_Progenitors,1.64411612,1.52354068,1.31567792
1,9.5,Epithelial_cells,1.08509152,1.00154339,1.06474099
1,9.5,Neural_progenitor_cells,1.25056145,0.85645638,0.64905917
1,9.5,Notochord_cells,NA,NA,NA
1,9.5,Oligodendrocyte_Progenitors,1.70677270,1.61938995,1.36287557
1,9.5,Endothelial_cells,1.49905978,1.21968297,1.33115641
1,9.5,Melanocytes,0.32911475,1.15087255,0.66653464
1,9.5,Jaw_and_tooth_progenitors,1.24374394,0.91236434,1.04086400
1,9.5,Neural_progenitor_cells,1.17164897,0.82542677,0.67155310
1,9.5,Epithelial_cells,1.11739069,1.03201265,0.95018948
1,9.5,Radial_glia,1.81391061,1.03121527,0.67657222
1,9.5,Early_mesenchyme,1.30952351,0.89853905,1.26029206
1,9.5,NA,NA,NA,NA
1,9.5,Osteoblasts,0.95901768,1.00092107,1.40767160
1,9.5,Neural_Tube,1.72978560,1.15991833,0.78483433
1,9.5,Intermediate_Mesoderm,NA,NA,NA
