embryoId,stage,cellType,mtX,mtY,mtZ
3,9.5,Cardiac_muscle_lineages,0.77914128,0.96502525,1.62210221
3,9.5,Cardiac_muscle_lineages,0.77922618,0.96676896,1.62381445
3,9.5,Cardiac_muscle_lineages,0.77923504,0.96105836,1.62351667
3,9.5,Cardiac_muscle_lineages,0.77947412,0.96675482,1.62155555
3,9.5,Cardiac_muscle_lineages,0.77978273,0.96703709,1.62353529
3,9.5,Cardiac_muscle_lineages,0.77999161,0.96548708,1.62105804
3,9.5,Cardiac_muscle_lineages,0.78018951,0.96949803,1.62310373
3,9.5,Cardiac_muscle_lineages,0.78062087,0.96538121,1.62061030
3,9.5,Cardiac_muscle_lineages,0.78072879,0.96775857,1.62290023
3,9.5,Cardiac_muscle_lineages,0.78093476,0.96762729,1.62337756
3,9.5,Cardiac_muscle_lineages,0.78127817,0.96727162,1.62098779
3,9.5,Cardiac_muscle_lineages,0.78153110,0.96707604,1.62343607
3,9.5,Cardiac_muscle_lineages,0.78159577,0.96151026,1.61884488
3,9.5,Cardiac_muscle_lineages,0.78191074,0.96569008,1.62027385
3,9.5,Cardiac_muscle_lineages,0.78421241,0.96880266,1.62298854
3,9.5,Cardiac_muscle_lineages,0.78433495,0.93205800,1.59061532
3,9.5,Cardiac_muscle_lineages,0.78447999,0.96627171,1.62139921
3,9.5,Cardiac_muscle_lineages,0.78465221,0.96372483,1.61980146
3,9.5,Cardiac_muscle_lineages,0.78670945,0.96081903,1.61745524
3,9.5,Cardiac_muscle_lineages,0.78704734,0.96780940,1.61524671
3,9.5,Cardiac_muscle_lineages,0.78754593,0.96508831,1.61470352
3,9.5,Cardiac_muscle_lineages,0.78765120,0.96109957,1.61307641
3,9.5,Cardiac_muscle_lineages,0.78994541,0.97229641,1.61115784
3,9.5,Cardiac_muscle_lineages,0.79007586,0.94145095,1.60296444
3,9.5,Cardiac_muscle_lineages,0.79069235,0.94591604,1.61595497
3,9.5,Cardiac_muscle_lineages,0.79104110,0.96937247,1.61085856
3,9.5,Cardiac_muscle_lineages,0.79134071,0.94728237,1.61556251
3,9.5,Cardiac_muscle_lineages,0.79221802,0.95946490,1.61072719
3,9.5,Cardiac_muscle_lineages,0.79377902,0.94025271,1.61475145
3,9.5,Cardiac_muscle_lineages,0.79418516,0.96862347,1.61048522
3,9.5,Cardiac_muscle_lineages,0.79755870,0.93743310,1.60894782
3,9.5,Cardiac_muscle_lineages,0.79884490,0.93438651,1.60936403
3,9.5,Cardiac_muscle_lineages,0.79919023,0.97831244,1.62499454
3,9.5,Cardiac_muscle_lineages,0.79949975,0.92697793,1.61246938
3,9.5,Cardiac_muscle_lineages,0.80291984,0.92873558,1.58714253
3,9.5,Cardiac_muscle_lineages,0.80428564,0.97380101,1.59038057
3,9.5,Cardiac_muscle_lineages,0.80526900,0.91554080,1.60875414
3,9.5,Cardiac_muscle_lineages,0.81056611,0.90674289,1.61255564
3,9.5,Cardiac_muscle_lineages,0.81135869,0.90123168,1.61761372
3,9.5,Cardiac_muscle_lineages,0.81222364,0.89908824,1.60827770
3,9.5,Cardiac_muscle_lineages,0.81282093,0.96616087,1.59142002
3,9.5,Cardiac_muscle_lineages,0.81399872,0.95352051,1.59950116
3,9.5,Cardiac_muscle_lineages,0.81479240,0.89791420,1.60501950
3,9.5,Cardiac_muscle_lineages,0.81557035,0.89525829,1.60539911
3,9.5,Cardiac_muscle_lineages,0.81623578,0.89419527,1.60720302
3,9.5,Cardiac_muscle_lineages,0.81672868,0.89259108,1.60717738
3,9.5,Cardiac_muscle_lineages,0.81737868,0.89733914,1.60197655
3,9.5,Cardiac_muscle_lineages,0.81794024,0.88983101,1.60537560
3,9.5,Cardiac_muscle_lineages,0.82380586,0.88173916,1.60163561
3,9.5,Cardiac_muscle_lineages,0.82398357,0.88739864,1.60061439
3,9.5,Cardiac_muscle_lineages,0.82406279,0.97741232,1.58949579
3,9.5,Cardiac_muscle_lineages,0.82413934,0.87933449,1.60051397
3,9.5,Cardiac_muscle_lineages,0.82470457,0.87905033,1.59974690
3,9.5,Cardiac_muscle_lineages,0.82477851,0.87902741,1.60120740
3,9.5,Cardiac_muscle_lineages,0.82604208,0.87877570,1.60090321
3,9.5,Cardiac_muscle_lineages,0.82621683,0.98885671,1.59890059
3,9.5,Cardiac_muscle_lineages,0.82695525,0.87624102,1.60002712
