Embryo,Stage,mtX,mtY,mtZ
4,10.5,Postmitotic_premature_neurons,NA,NA,NA
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Excitatory_neurons,0.28849592,0.97552821,1.27232148
4,10.5,Schwann_cell_precursor,NA,NA,NA
4,10.5,Schwann_cell_precursor,2.32458786,2.62236984,2.43650418
4,10.5,Chondroctye_progenitors,1.08281686,0.95896482,0.78960941
4,10.5,Intermediate_Mesoderm,1.19914817,1.51431764,1.78382017
4,10.5,Intermediate_Mesoderm,NA,NA,NA
4,10.5,Notochord_cells,1.40671358,1.32725033,0.86382822
4,10.5,Epithelial_cells,1.12154884,1.32847907,0.91983078
4,10.5,Chondroctye_progenitors,1.08986529,0.81900010,0.77348352
4,10.5,Oligodendrocyte_Progenitors,1.62403801,1.44241206,1.52176102
4,10.5,Early_mesenchyme,0.84978332,1.24897479,1.21667715
4,10.5,Epithelial_cells,1.13512069,1.36395901,0.93061730
4,10.5,Primitive_erythroid_lineage,2.38488802,1.42111101,1.68181034
4,10.5,Radial_glia,1.52898507,0.83574479,0.81793625
4,10.5,Chondrocytes_&_osteoblasts,1.57079480,0.99181883,1.06380733
4,10.5,Notochord_cells,1.36127837,1.25763965,0.65308352
4,10.5,Oligodendrocyte_Progenitors,NA,NA,NA
4,10.5,Oligodendrocyte_Progenitors,1.61486922,1.19209191,0.99037630
4,10.5,Jaw_and_tooth_progenitors,1.39266537,1.04813268,1.24879618
4,10.5,Endothelial_cells,1.37408853,1.27409954,1.37350586
4,10.5,Jaw_and_tooth_progenitors,1.03863909,0.88988036,0.88180003
4,10.5,Oligodendrocyte_Progenitors,1.60225458,1.32940961,1.52914207
4,10.5,Epithelial_cells,NA,NA,NA
4,10.5,Excitatory_neurons,0.30735691,1.04301116,1.04039936
4,10.5,Radial_glia,1.68391693,0.59718592,0.58375530
4,10.5,Limb_mesenchyme,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.27855989,1.33975031,1.83085478
4,10.5,Isthmic_organizer_cells,1.64558132,1.28775416,1.09943362
4,10.5,Postmitotic_premature_neurons,0.54920367,0.87215455,0.77291225
4,10.5,Schwann_cell_precursor,2.54953337,1.47557042,2.93051711
4,10.5,Chondrocytes_&_osteoblasts,0.70837748,0.70958044,1.25036139
4,10.5,Sensory_neurons,1.21301646,0.64332766,1.03887095
4,10.5,Osteoblasts,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.21066594,1.19872622,1.71675907
4,10.5,Epithelial_cells,0.93514467,1.00721899,1.07090969
4,10.5,Endothelial_cells,NA,NA,NA
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Cardiac_muscle_lineages,NA,NA,NA
4,10.5,Endothelial_cells,0.96490263,1.34203549,0.62463885
4,10.5,Notochord_cells,1.34795879,1.31617673,0.63377787
4,10.5,Inhibitory_interneurons,0.90050544,1.30694016,1.59122358
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Cholinergic_neurons,0.53701286,1.08591122,0.02663083
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.48887038,0.90198431,1.06032709
4,10.5,Postmitotic_premature_neurons,0.44369088,1.30199381,0.87877122
4,10.5,Definitive_erythroid_lineage,NA,NA,NA
4,10.5,Early_mesenchyme,1.34577445,1.00634935,1.16222858
4,10.5,Epithelial_cells,0.97057871,1.04853135,0.93492658
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Chondrocytes_&_osteoblasts,1.55575005,0.99600676,1.07433448
