embryoId,stage,cellType,mtX,mtY,mtZ
68,13.5,Chondroctye_progenitors,1.17289654,0.83414836,0.63020641
68,13.5,Sensory_neurons,1.25247019,0.98730684,1.57641060
68,13.5,Premature_oligodendrocyte,1.51570808,1.36236905,1.77630278
68,13.5,Postmitotic_premature_neurons,0.44218335,0.78651216,0.83641841
68,13.5,Connective_tissue_progenitors,1.27243900,1.57478794,1.15100387
68,13.5,Inhibitory_neurons,0.28910028,1.12348737,1.38378813
68,13.5,Isthmic_organizer_cells,1.50597328,1.78947075,1.26310578
68,13.5,Limb_mesenchyme,0.73387889,1.33709375,1.03394178
68,13.5,Excitatory_neurons,0.51152848,1.56596869,0.14013013
68,13.5,Jaw_and_tooth_progenitors,1.42061128,1.28138069,1.07977642
68,13.5,Postmitotic_premature_neurons,0.48905936,1.26692913,0.89181671
68,13.5,Definitive_erythroid_lineage,1.53560508,2.30166150,2.08658276
68,13.5,Intermediate_Mesoderm,1.15710890,1.26634827,1.96712463
68,13.5,Granule_neurons,0.50900157,1.74980790,1.45222575
68,13.5,Sensory_neurons,1.25236254,1.46905669,1.52047265
68,13.5,Inhibitory_interneurons,0.66494934,1.30413288,1.64629048
68,13.5,Sensory_neurons,0.18717312,0.98120928,1.13191914
68,13.5,Inhibitory_neurons,0.11976508,0.85931127,1.37221438
68,13.5,Connective_tissue_progenitors,1.25763318,1.07705290,0.84541992
68,13.5,Notochord_cells,1.33909503,1.35111447,0.66293289
68,13.5,Jaw_and_tooth_progenitors,1.17662601,1.41522902,1.10793551
68,13.5,Connective_tissue_progenitors,1.36112088,1.56903352,1.01083812
68,13.5,Postmitotic_premature_neurons,0.41688565,1.06371049,0.92688359
68,13.5,Inhibitory_neurons,0.45697221,1.25695388,1.45325119
68,13.5,Inhibitory_neurons,0.46268392,1.30493150,1.58912556
68,13.5,Ependymal_cell,1.76056214,1.76402127,1.37145046
68,13.5,Definitive_erythroid_lineage,1.17101795,2.30873537,1.77197701
68,13.5,Epithelial_cells,0.88421448,1.07661644,1.20636935
68,13.5,Chondrocytes_&_osteoblasts,1.57903580,1.17590971,0.99590333
68,13.5,Excitatory_neurons,0.27757561,1.26894556,1.13938194
68,13.5,Granule_neurons,0.70207957,1.70380078,1.43905005
68,13.5,Oligodendrocyte_Progenitors,1.52202918,1.34157250,1.64244793
68,13.5,Jaw_and_tooth_progenitors,1.07921652,1.49356765,1.12852489
68,13.5,Inhibitory_neurons,0.12595581,0.82941209,1.34523240
68,13.5,White_blood_cells,1.10912123,1.57458297,1.47496103
68,13.5,Epithelial_cells,0.89495478,1.10447522,1.94871981
68,13.5,Chondrocytes_&_osteoblasts,1.36752027,1.37706944,0.91133690
68,13.5,Endothelial_cells,1.39256361,1.35092058,2.15842812
68,13.5,Myocytes,0.48046543,0.31898517,1.15302495
68,13.5,Granule_neurons,0.48161923,1.69197564,1.41628768
68,13.5,Chondrocytes_&_osteoblasts,1.38791981,1.32409386,0.95550915
68,13.5,Definitive_erythroid_lineage,1.16077610,2.23493528,1.67633502
68,13.5,Chondrocytes_&_osteoblasts,1.29782909,1.36817875,1.05036617
68,13.5,Premature_oligodendrocyte,1.51147317,1.38449772,1.77546809
68,13.5,Ependymal_cell,1.76179738,1.76599950,1.37055891
68,13.5,Neural_progenitor_cells,1.08710346,1.04042775,0.93146817
68,13.5,Excitatory_neurons,0.15352254,1.21324047,1.15906959
68,13.5,Sensory_neurons,0.03192718,1.22745191,0.97312152
68,13.5,Connective_tissue_progenitors,1.20581620,1.67886397,1.22902804
68,13.5,Connective_tissue_progenitors,1.38285941,1.49192824,1.03041410
68,13.5,Inhibitory_neurons,0.13561127,0.73583851,1.33405666
68,13.5,Chondroctye_progenitors,1.13252875,1.03083922,0.76452116
68,13.5,Connective_tissue_progenitors,1.30832842,1.66027563,1.20184322
68,13.5,Inhibitory_neurons,0.15425498,1.17250275,1.29020011
68,13.5,Definitive_erythroid_lineage,1.18523860,2.25575015,1.79006074
68,13.5,Epithelial_cells,0.89295859,1.03927037,1.17122225
68,13.5,Connective_tissue_progenitors,1.33533319,1.52632245,1.00658179
68,13.5,Premature_oligodendrocyte,1.55453249,1.61761677,1.88860148
68,13.5,Postmitotic_premature_neurons,0.39255246,0.91180024,0.88305722
68,13.5,Connective_tissue_progenitors,1.21746828,1.67328587,1.16601690
68,13.5,Hepatocytes,2.21248270,2.06389204,2.08176655
68,13.5,Connective_tissue_progenitors,1.16928207,1.53283673,1.15090113
